dataset,augmentation,p,seed,ddr
assist2012,node_drop,0.05,42,0.09685230024213075
assist2012,node_drop,0.05,17,0.1089588377723971
assist2012,node_drop,0.05,1234,0.05811138014527845
assist2012,node_drop,0.1,42,0.2033898305084746
assist2012,node_drop,0.1,17,0.19128329297820823
assist2012,node_drop,0.1,1234,0.21549636803874092
assist2012,node_drop,0.2,42,0.5012106537530266
assist2012,node_drop,0.2,17,0.29782082324455206
assist2012,node_drop,0.2,1234,0.43099273607748184
assist2012,node_drop,0.3,42,0.5811138014527845
assist2012,node_drop,0.3,17,0.4067796610169492
assist2012,node_drop,0.3,1234,0.6029055690072639
assist2012,edge_drop,0.05,42,0.0387409200968523
assist2012,edge_drop,0.05,17,0.06295399515738499
assist2012,edge_drop,0.05,1234,0.06295399515738499
assist2012,edge_drop,0.1,42,0.0847457627118644
assist2012,edge_drop,0.1,17,0.09927360774818401
assist2012,edge_drop,0.1,1234,0.1162227602905569
assist2012,edge_drop,0.2,42,0.22033898305084745
assist2012,edge_drop,0.2,17,0.19612590799031476
assist2012,edge_drop,0.2,1234,0.21549636803874092
assist2012,edge_drop,0.3,42,0.3026634382566586
assist2012,edge_drop,0.3,17,0.30024213075060535
assist2012,edge_drop,0.3,1234,0.3196125907990315
assist2012,attr_mask,0.05,42,0.0
assist2012,attr_mask,0.05,17,0.0
assist2012,attr_mask,0.05,1234,0.0
assist2012,attr_mask,0.1,42,0.0
assist2012,attr_mask,0.1,17,0.0
assist2012,attr_mask,0.1,1234,0.0
assist2012,attr_mask,0.2,42,0.0
assist2012,attr_mask,0.2,17,0.0
assist2012,attr_mask,0.2,1234,0.0
assist2012,attr_mask,0.3,42,0.0
assist2012,attr_mask,0.3,17,0.0
assist2012,attr_mask,0.3,1234,0.0
assist2012,subgraph,0.05,42,0.09685230024213075
assist2012,subgraph,0.05,17,0.1089588377723971
assist2012,subgraph,0.05,1234,0.05811138014527845
assist2012,subgraph,0.1,42,0.2033898305084746
assist2012,subgraph,0.1,17,0.19128329297820823
assist2012,subgraph,0.1,1234,0.21549636803874092
assist2012,subgraph,0.2,42,0.5012106537530266
assist2012,subgraph,0.2,17,0.29782082324455206
assist2012,subgraph,0.2,1234,0.43099273607748184
assist2012,subgraph,0.3,42,0.5811138014527845
assist2012,subgraph,0.3,17,0.4067796610169492
assist2012,subgraph,0.3,1234,0.6029055690072639
