dataset,fold,split_seed,model,eval_split,auc,acc,nll,n_eval,status,note,graph_construction
synthetic_c2,0,42,bkt,valid+test,0.5543321973702897,0.68285,0.6194613688315275,60000,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
synthetic_c2,0,42,dkt,valid+test,0.6176070162145773,0.68285,0.6134443247628191,60000,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
synthetic_c2,0,42,simplekt,valid+test,0.6239715153187048,0.68285,0.6070550489357995,60000,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
synthetic_c2,0,42,akt,valid+test,0.6168312707373149,0.68285,0.6112233494183494,60000,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
synthetic_c2,0,42,gkt,valid+test,0.5543321973702897,0.68285,0.6242798780736972,60000,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
synthetic_c2,0,42,gikt,valid+test,0.6325993749869483,0.68285,0.6122754104704309,60000,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
synthetic_c2,0,42,skt,valid+test,0.6293924985943364,0.68285,0.6205737245946849,60000,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
synthetic_c2,0,42,dygkt,valid+test,0.629352479978446,0.68285,0.6220466377903162,60000,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
synthetic_c2,0,42,dgekt,valid+test,0.6320491190184536,0.68285,0.6137747324877324,60000,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
synthetic_c2,0,42,gkt,valid+test,0.5543321973702897,0.68285,0.6242888137452547,60000,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
synthetic_c2,0,42,gikt,valid+test,0.6326063012858524,0.68285,0.6122837328343517,60000,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
synthetic_c2,0,42,skt,valid+test,0.6295879741411863,0.68285,0.6205859905408655,60000,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
synthetic_c2,0,42,dygkt,valid+test,0.629352479978446,0.68285,0.6220513803369045,60000,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
synthetic_c2,0,42,dgekt,valid+test,0.6320491190184536,0.68285,0.613785493563483,60000,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
synthetic_c2,1,43,bkt,valid+test,0.5548812703963589,0.6855166666666667,0.6173192726452216,60000,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
synthetic_c2,1,43,dkt,valid+test,0.6198831328669651,0.6855166666666667,0.6112039456601698,60000,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
synthetic_c2,1,43,simplekt,valid+test,0.6270883821322606,0.6855166666666667,0.6046067175611599,60000,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
synthetic_c2,1,43,akt,valid+test,0.6191007603072569,0.6855166666666667,0.6087658234486782,60000,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
synthetic_c2,1,43,gkt,valid+test,0.5548812703963589,0.6855166666666667,0.6223658094169414,60000,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
synthetic_c2,1,43,gikt,valid+test,0.6358599227078017,0.6855166666666667,0.6100938510048991,60000,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
synthetic_c2,1,43,skt,valid+test,0.6335483674177551,0.6855166666666667,0.6186062427561803,60000,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
synthetic_c2,1,43,dygkt,valid+test,0.6322418361668593,0.6855166666666667,0.62006148766775,60000,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
synthetic_c2,1,43,dgekt,valid+test,0.6355908855034751,0.6855166666666667,0.611643373707402,60000,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
synthetic_c2,1,43,gkt,valid+test,0.5548812703963589,0.6855166666666667,0.6223691580105689,60000,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
synthetic_c2,1,43,gikt,valid+test,0.6358599227078017,0.6855166666666667,0.6100946080028482,60000,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
synthetic_c2,1,43,skt,valid+test,0.6332344906793743,0.6855166666666667,0.61860896958477,60000,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
synthetic_c2,1,43,dygkt,valid+test,0.6323902704864877,0.6855166666666667,0.6200642989204138,60000,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
synthetic_c2,1,43,dgekt,valid+test,0.6355908855034751,0.6855166666666667,0.6116445038944263,60000,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
synthetic_c2,2,44,bkt,valid+test,0.5542410580356694,0.6920666666666667,0.6125187557493067,60000,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
synthetic_c2,2,44,dkt,valid+test,0.6206526470297429,0.6920666666666667,0.606353109291888,60000,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
synthetic_c2,2,44,simplekt,valid+test,0.627426913779627,0.6920666666666667,0.5997793398881227,60000,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
synthetic_c2,2,44,akt,valid+test,0.6198611949458266,0.6920666666666667,0.6035905816332934,60000,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
