model,status,note,dataset,eval_split,auc,acc,nll,n_eval,n_folds,auc_ci_low,auc_ci_high,acc_ci_low,acc_ci_high,nll_ci_low,nll_ci_high,graph_construction
bkt,pending_data,Baselines reported for diagnostic purposes only; we do not claim SOTA.,,,,,,,,,,,,,,train_only
akt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,synthetic_c2,valid+test,0.6185977419967995,0.6868111111111111,0.6078599181667738,180000.0,3.0,0.6168312707373149,0.6198611949458266,0.6828499999999998,0.6920666666666667,0.6035905816332934,0.6112233494183494,train_only
bkt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,synthetic_c2,valid+test,0.554484841934106,0.6868111111111111,0.6164331324086852,180000.0,3.0,0.5542410580356694,0.5548812703963589,0.6828499999999998,0.6920666666666667,0.6125187557493067,0.6194613688315275,train_only
dgekt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,synthetic_c2,valid+test,0.6349152609722405,0.6868111111111111,0.6107957070154929,180000.0,3.0,0.6320491190184536,0.6371057783947929,0.6828499999999998,0.6920666666666667,0.6069571235885696,0.613785493563483,full_log
dgekt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,synthetic_c2,valid+test,0.6349183892413469,0.6868111111111111,0.6108364894236726,180000.0,3.0,0.6320491190184536,0.6371151632021121,0.6828499999999998,0.6920666666666667,0.6070913620758835,0.6137747324877324,train_only
dkt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,synthetic_c2,valid+test,0.6193809320370951,0.6868111111111111,0.6103337932382923,180000.0,3.0,0.6176070162145773,0.6206526470297429,0.6828499999999998,0.6920666666666667,0.606353109291888,0.6134443247628191,train_only
dygkt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,synthetic_c2,valid+test,0.6314719238453247,0.6868111111111111,0.6191481063490647,180000.0,3.0,0.629352479978446,0.6326730210710405,0.6828499999999998,0.6920666666666667,0.6153286397898756,0.6220513803369045,full_log
dygkt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,synthetic_c2,valid+test,0.631503780735548,0.6868111111111111,0.6191799680541294,180000.0,3.0,0.629352479978446,0.6329170260613388,0.6828499999999998,0.6920666666666667,0.6154317787043222,0.6220466377903162,train_only
gikt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,synthetic_c2,valid+test,0.635265745921369,0.6868111111111111,0.6092565206613411,180000.0,3.0,0.6326063012858524,0.6373310137704529,0.6828499999999998,0.6920666666666667,0.6053912211468236,0.6122837328343517,full_log
gikt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,synthetic_c2,valid+test,0.6352707364496492,0.6868111111111111,0.6092901038448836,180000.0,3.0,0.6325993749869483,0.6373529116541975,0.6828499999999998,0.6920666666666667,0.6055010500593209,0.6122754104704309,train_only
gkt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,synthetic_c2,valid+test,0.554484841934106,0.6868111111111111,0.6214466469885014,180000.0,3.0,0.5542410580356694,0.5548812703963589,0.6828499999999998,0.6920666666666667,0.6176819692096804,0.6242888137452547,full_log
gkt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,synthetic_c2,valid+test,0.554484841934106,0.6868111111111111,0.6214915714874963,180000.0,3.0,0.5542410580356694,0.5548812703963589,0.6828499999999998,0.6920666666666667,0.6178290269718505,0.6242798780736972,train_only
simplekt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,synthetic_c2,valid+test,0.6261622704101973,0.6868111111111111,0.6038137021283608,180000.0,3.0,0.6239715153187048,0.627426913779627,0.6828499999999998,0.6920666666666667,0.5997793398881227,0.6070550489357995,train_only
skt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,synthetic_c2,valid+test,0.6328073272135425,0.6868111111111111,0.6177106323582683,180000.0,3.0,0.6295879741411863,0.6355995168200669,0.6828499999999998,0.6920666666666667,0.6139369369491697,0.6205859905408655,full_log
skt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,synthetic_c2,valid+test,0.6327665020369889,0.6868111111111111,0.6177604091055752,180000.0,3.0,0.6293924985943364,0.635358640098875,0.6828499999999998,0.6920666666666667,0.6141012599658601,0.6205737245946849,train_only
akt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,synthetic_c5,valid+test,0.6220366548284018,0.61065,0.656309138825228,180000.0,3.0,0.6178492946433507,0.6260613262907403,0.6081333333333333,0.6132333333333333,0.654742993583083,0.6578569226008822,train_only
