stratum,n,auc,acc,nll,dataset,model,fold,split_seed
cold,256,0.4466959635416667,0.62109375,0.6332468598809042,junyi,bkt,0.0,42.0
hot,7725588,0.7184813170644425,0.8308927424035556,0.4134609561882653,junyi,bkt,0.0,42.0
out_of_range,10,0.5,0.9,0.5114795768593375,junyi,bkt,0.0,42.0
very_cold,19,1.0,0.6842105263157895,0.4557921613802387,junyi,bkt,0.0,42.0
warm,11257,0.6149363960841351,0.7271031358265968,0.572307220775881,junyi,bkt,0.0,42.0
cold,256,0.4466959635416667,0.75,0.5885274448315547,junyi,dkt,0.0,42.0
hot,7725588,0.7184813170644425,0.8294683848012604,0.4220133409986657,junyi,dkt,0.0,42.0
out_of_range,10,0.5,0.1,0.7417465513309711,junyi,dkt,0.0,42.0
very_cold,19,1.0,0.631578947368421,0.538783640906483,junyi,dkt,0.0,42.0
warm,11257,0.6149363960841351,0.7350093275295372,0.5618422329985965,junyi,dkt,0.0,42.0
cold,256,0.4466959635416667,0.62109375,0.633246859880904,junyi,simplekt,0.0,42.0
hot,7725588,0.7184813170644425,0.8308927424035556,0.4134609561882653,junyi,simplekt,0.0,42.0
out_of_range,10,0.5,0.9,0.5114795768593375,junyi,simplekt,0.0,42.0
very_cold,19,1.0,0.6842105263157895,0.4557921613802387,junyi,simplekt,0.0,42.0
warm,11257,0.6149363960841351,0.7271031358265968,0.572307220775881,junyi,simplekt,0.0,42.0
cold,256,0.4466959635416667,0.75390625,0.6089974388630612,junyi,akt,0.0,42.0
hot,7725588,0.7167287756607881,0.8300355908184593,0.4242092705175802,junyi,akt,0.0,42.0
out_of_range,10,0.5,0.9,0.6334044995788253,junyi,akt,0.0,42.0
very_cold,19,1.0,0.631578947368421,0.5121074300629301,junyi,akt,0.0,42.0
warm,11257,0.6149363960841351,0.7340321577684996,0.5686935077812904,junyi,akt,0.0,42.0
cold,256,0.4466959635416667,0.75,0.5793080214772985,junyi,gkt,0.0,42.0
hot,7725588,0.7040819239820169,0.8296017079864989,0.4245264624894483,junyi,gkt,0.0,42.0
out_of_range,10,0.5,0.1,0.8420529031994836,junyi,gkt,0.0,42.0
very_cold,19,1.0,0.631578947368421,0.5710824354999462,junyi,gkt,0.0,42.0
warm,11257,0.6123537164227132,0.7336768233099404,0.5636506662475795,junyi,gkt,0.0,42.0
cold,256,0.4466959635416667,0.75,0.5942131496140435,junyi,gikt,0.0,42.0
hot,7725588,0.7126384665459572,0.8302732426321465,0.4192781217813797,junyi,gikt,0.0,42.0
out_of_range,10,0.5,0.1,0.696641265498887,junyi,gikt,0.0,42.0
very_cold,19,1.0,0.631578947368421,0.5236200034881824,junyi,gikt,0.0,42.0
warm,11257,0.6130906698671409,0.7326996535489029,0.5631367054900384,junyi,gikt,0.0,42.0
cold,73,0.3001949317738791,0.7397260273972602,0.600912140805331,junyi,bkt,1.0,43.0
hot,7811219,0.719352952868726,0.8304957267233194,0.4139282018669106,junyi,bkt,1.0,43.0
very_cold,48,0.4390625,0.5416666666666666,0.7664560367546027,junyi,bkt,1.0,43.0
warm,8883,0.6396865768194967,0.6915456489924575,0.5880382321178719,junyi,bkt,1.0,43.0
