dataset,n_nodes,n_edges,n_roots,n_leaves,n_cycles_before,n_cycles_after,topo_sort_passed,fold,n_edges_raw,n_edges_pruned
assist2012,108,239,37,16,100,0,True,0.0,386,147
assist2012,109,241,39,15,100,0,True,1.0,388,147
assist2012,106,236,38,15,100,0,True,2.0,382,146
junyi,573,1139,90,92,100,0,True,0.0,2152,1013
junyi,578,1147,89,95,100,0,True,1.0,2130,983
junyi,576,1129,88,93,100,0,True,2.0,2156,1027
synthetic_c2,2,1,1,1,1,0,True,0.0,2,1
synthetic_c2,2,1,1,1,1,0,True,1.0,2,1
synthetic_c2,2,1,1,1,1,0,True,2.0,2,1
synthetic_c5,3,2,1,1,0,0,True,0.0,2,0
synthetic_c5,3,2,1,1,0,0,True,1.0,2,0
synthetic_c5,3,2,1,1,0,0,True,2.0,2,0
xes3g5m,455,701,129,73,100,0,True,0.0,1162,461
xes3g5m,453,700,129,70,100,0,True,1.0,1157,457
xes3g5m,455,707,127,71,100,0,True,2.0,1168,461
