dataset,augmentation,p,seed,ddr,fold
assist2012,attr_mask,0.05,17,0.0,0.0
assist2012,attr_mask,0.05,42,0.0,0.0
assist2012,attr_mask,0.05,1234,0.0,0.0
assist2012,attr_mask,0.1,17,0.0,0.0
assist2012,attr_mask,0.1,42,0.0,0.0
assist2012,attr_mask,0.1,1234,0.0,0.0
assist2012,attr_mask,0.2,17,0.0,0.0
assist2012,attr_mask,0.2,42,0.0,0.0
assist2012,attr_mask,0.2,1234,0.0,0.0
assist2012,attr_mask,0.3,17,0.0,0.0
assist2012,attr_mask,0.3,42,0.0,0.0
assist2012,attr_mask,0.3,1234,0.0,0.0
assist2012,edge_drop,0.05,17,0.0629539951573849,0.0
assist2012,edge_drop,0.05,42,0.0387409200968523,0.0
assist2012,edge_drop,0.05,1234,0.0629539951573849,0.0
assist2012,edge_drop,0.1,17,0.099273607748184,0.0
assist2012,edge_drop,0.1,42,0.0847457627118644,0.0
assist2012,edge_drop,0.1,1234,0.1162227602905569,0.0
assist2012,edge_drop,0.2,17,0.1961259079903147,0.0
assist2012,edge_drop,0.2,42,0.2203389830508474,0.0
assist2012,edge_drop,0.2,1234,0.2154963680387409,0.0
assist2012,edge_drop,0.3,17,0.3002421307506053,0.0
assist2012,edge_drop,0.3,42,0.3026634382566586,0.0
assist2012,edge_drop,0.3,1234,0.3196125907990315,0.0
assist2012,node_drop,0.05,17,0.1089588377723971,0.0
assist2012,node_drop,0.05,42,0.0968523002421307,0.0
assist2012,node_drop,0.05,1234,0.0581113801452784,0.0
assist2012,node_drop,0.1,17,0.1912832929782082,0.0
assist2012,node_drop,0.1,42,0.2033898305084746,0.0
assist2012,node_drop,0.1,1234,0.2154963680387409,0.0
assist2012,node_drop,0.2,17,0.297820823244552,0.0
assist2012,node_drop,0.2,42,0.5012106537530266,0.0
assist2012,node_drop,0.2,1234,0.4309927360774818,0.0
assist2012,node_drop,0.3,17,0.4067796610169492,0.0
assist2012,node_drop,0.3,42,0.5811138014527845,0.0
assist2012,node_drop,0.3,1234,0.6029055690072639,0.0
assist2012,subgraph,0.05,17,0.009685230024213,0.0
assist2012,subgraph,0.05,42,0.009685230024213,0.0
assist2012,subgraph,0.05,1234,0.009685230024213,0.0
assist2012,subgraph,0.1,17,0.0242130750605326,0.0
assist2012,subgraph,0.1,42,0.0242130750605326,0.0
assist2012,subgraph,0.1,1234,0.0242130750605326,0.0
assist2012,subgraph,0.2,17,0.0629539951573849,0.0
assist2012,subgraph,0.2,42,0.0629539951573849,0.0
assist2012,subgraph,0.2,1234,0.0750605326876513,0.0
assist2012,subgraph,0.3,17,0.1646489104116222,0.0
assist2012,subgraph,0.3,42,0.1815980629539951,0.0
assist2012,subgraph,0.3,1234,0.1694915254237288,0.0
assist2012,attr_mask,0.05,17,0.0,1.0
assist2012,attr_mask,0.05,42,0.0,1.0
assist2012,attr_mask,0.05,1234,0.0,1.0
assist2012,attr_mask,0.1,17,0.0,1.0
assist2012,attr_mask,0.1,42,0.0,1.0
assist2012,attr_mask,0.1,1234,0.0,1.0
assist2012,attr_mask,0.2,17,0.0,1.0
assist2012,attr_mask,0.2,42,0.0,1.0
assist2012,attr_mask,0.2,1234,0.0,1.0
assist2012,attr_mask,0.3,17,0.0,1.0
assist2012,attr_mask,0.3,42,0.0,1.0
assist2012,attr_mask,0.3,1234,0.0,1.0
assist2012,edge_drop,0.05,17,0.0625,1.0
assist2012,edge_drop,0.05,42,0.0408653846153846,1.0
assist2012,edge_drop,0.05,1234,0.0625,1.0
assist2012,edge_drop,0.1,17,0.0985576923076923,1.0
assist2012,edge_drop,0.1,42,0.0865384615384615,1.0
assist2012,edge_drop,0.1,1234,0.1153846153846153,1.0
assist2012,edge_drop,0.2,17,0.1995192307692307,1.0
assist2012,edge_drop,0.2,42,0.2211538461538461,1.0
assist2012,edge_drop,0.2,1234,0.21875,1.0
assist2012,edge_drop,0.3,17,0.3028846153846153,1.0
assist2012,edge_drop,0.3,42,0.3052884615384615,1.0
assist2012,edge_drop,0.3,1234,0.3221153846153846,1.0
assist2012,node_drop,0.05,17,0.1201923076923077,1.0
assist2012,node_drop,0.05,42,0.0456730769230769,1.0
assist2012,node_drop,0.05,1234,0.0889423076923077,1.0
assist2012,node_drop,0.1,17,0.1586538461538461,1.0
assist2012,node_drop,0.1,42,0.1538461538461538,1.0
assist2012,node_drop,0.1,1234,0.1923076923076923,1.0
assist2012,node_drop,0.2,17,0.3293269230769231,1.0
assist2012,node_drop,0.2,42,0.3317307692307692,1.0
assist2012,node_drop,0.2,1234,0.3076923076923077,1.0
assist2012,node_drop,0.3,17,0.53125,1.0
assist2012,node_drop,0.3,42,0.4471153846153846,1.0
assist2012,node_drop,0.3,1234,0.5504807692307693,1.0
assist2012,subgraph,0.05,17,0.0144230769230769,1.0
assist2012,subgraph,0.05,42,0.0120192307692307,1.0
assist2012,subgraph,0.05,1234,0.0120192307692307,1.0
assist2012,subgraph,0.1,17,0.03125,1.0
assist2012,subgraph,0.1,42,0.0264423076923076,1.0
assist2012,subgraph,0.1,1234,0.03125,1.0
assist2012,subgraph,0.2,17,0.0697115384615384,1.0
assist2012,subgraph,0.2,42,0.0697115384615384,1.0
assist2012,subgraph,0.2,1234,0.0673076923076923,1.0
assist2012,subgraph,0.3,17,0.2211538461538461,1.0
assist2012,subgraph,0.3,42,0.1850961538461538,1.0
assist2012,subgraph,0.3,1234,0.1850961538461538,1.0
assist2012,attr_mask,0.05,17,0.0,2.0
assist2012,attr_mask,0.05,42,0.0,2.0
assist2012,attr_mask,0.05,1234,0.0,2.0
assist2012,attr_mask,0.1,17,0.0,2.0
assist2012,attr_mask,0.1,42,0.0,2.0
assist2012,attr_mask,0.1,1234,0.0,2.0
assist2012,attr_mask,0.2,17,0.0,2.0
assist2012,attr_mask,0.2,42,0.0,2.0
assist2012,attr_mask,0.2,1234,0.0,2.0
assist2012,attr_mask,0.3,17,0.0,2.0
assist2012,attr_mask,0.3,42,0.0,2.0
assist2012,attr_mask,0.3,1234,0.0,2.0
assist2012,edge_drop,0.05,17,0.0625,2.0
assist2012,edge_drop,0.05,42,0.0408653846153846,2.0
assist2012,edge_drop,0.05,1234,0.0625,2.0
assist2012,edge_drop,0.1,17,0.0985576923076923,2.0
assist2012,edge_drop,0.1,42,0.0865384615384615,2.0
assist2012,edge_drop,0.1,1234,0.1153846153846153,2.0
assist2012,edge_drop,0.2,17,0.1995192307692307,2.0
assist2012,edge_drop,0.2,42,0.2211538461538461,2.0
assist2012,edge_drop,0.2,1234,0.21875,2.0
assist2012,edge_drop,0.3,17,0.3028846153846153,2.0
assist2012,edge_drop,0.3,42,0.3052884615384615,2.0
assist2012,edge_drop,0.3,1234,0.3221153846153846,2.0
assist2012,node_drop,0.05,17,0.1057692307692307,2.0
assist2012,node_drop,0.05,42,0.1346153846153846,2.0
assist2012,node_drop,0.05,1234,0.0697115384615384,2.0
assist2012,node_drop,0.1,17,0.1971153846153846,2.0
assist2012,node_drop,0.1,42,0.2403846153846154,2.0
assist2012,node_drop,0.1,1234,0.1875,2.0
assist2012,node_drop,0.2,17,0.3389423076923077,2.0
assist2012,node_drop,0.2,42,0.5480769230769231,2.0
assist2012,node_drop,0.2,1234,0.4182692307692308,2.0
assist2012,node_drop,0.3,17,0.4495192307692308,2.0
assist2012,node_drop,0.3,42,0.6322115384615384,2.0
assist2012,node_drop,0.3,1234,0.5697115384615384,2.0
assist2012,subgraph,0.05,17,0.0120192307692307,2.0
assist2012,subgraph,0.05,42,0.0120192307692307,2.0
assist2012,subgraph,0.05,1234,0.0120192307692307,2.0
assist2012,subgraph,0.1,17,0.03125,2.0
assist2012,subgraph,0.1,42,0.03125,2.0
assist2012,subgraph,0.1,1234,0.03125,2.0
assist2012,subgraph,0.2,17,0.0817307692307692,2.0
assist2012,subgraph,0.2,42,0.079326923076923,2.0
assist2012,subgraph,0.2,1234,0.0745192307692307,2.0
assist2012,subgraph,0.3,17,0.2283653846153846,2.0
assist2012,subgraph,0.3,42,0.1634615384615384,2.0
assist2012,subgraph,0.3,1234,0.1971153846153846,2.0
junyi,attr_mask,0.05,17,0.0,0.0
junyi,attr_mask,0.05,42,0.0,0.0
junyi,attr_mask,0.05,1234,0.0,0.0
junyi,attr_mask,0.1,17,0.0,0.0
junyi,attr_mask,0.1,42,0.0,0.0
junyi,attr_mask,0.1,1234,0.0,0.0
junyi,attr_mask,0.2,17,0.0,0.0
junyi,attr_mask,0.2,42,0.0,0.0
junyi,attr_mask,0.2,1234,0.0,0.0
junyi,attr_mask,0.3,17,0.0,0.0
junyi,attr_mask,0.3,42,0.0,0.0
junyi,attr_mask,0.3,1234,0.0,0.0
junyi,edge_drop,0.05,17,0.0501858736059479,0.0
junyi,edge_drop,0.05,42,0.0487918215613382,0.0
junyi,edge_drop,0.05,1234,0.0520446096654275,0.0
junyi,edge_drop,0.1,17,0.0920074349442379,0.0
junyi,edge_drop,0.1,42,0.0952602230483271,0.0
junyi,edge_drop,0.1,1234,0.095724907063197,0.0
junyi,edge_drop,0.2,17,0.2007434944237918,0.0
junyi,edge_drop,0.2,42,0.2058550185873606,0.0
junyi,edge_drop,0.2,1234,0.1937732342007435,0.0
junyi,edge_drop,0.3,17,0.3085501858736059,0.0
junyi,edge_drop,0.3,42,0.3025092936802974,0.0
junyi,edge_drop,0.3,1234,0.2908921933085502,0.0
junyi,node_drop,0.05,17,0.1245353159851301,0.0
junyi,node_drop,0.05,42,0.0864312267657992,0.0
junyi,node_drop,0.05,1234,0.116635687732342,0.0
junyi,node_drop,0.1,17,0.1854089219330855,0.0
junyi,node_drop,0.1,42,0.1700743494423791,0.0
junyi,node_drop,0.1,1234,0.2244423791821561,0.0
junyi,node_drop,0.2,17,0.391728624535316,0.0
junyi,node_drop,0.2,42,0.3996282527881041,0.0
junyi,node_drop,0.2,1234,0.3657063197026022,0.0
junyi,node_drop,0.3,17,0.5116171003717472,0.0
junyi,node_drop,0.3,42,0.5274163568773235,0.0
junyi,node_drop,0.3,1234,0.5362453531598513,0.0
junyi,subgraph,0.05,17,0.0130111524163568,0.0
junyi,subgraph,0.05,42,0.0130111524163568,0.0
junyi,subgraph,0.05,1234,0.0130111524163568,0.0
junyi,subgraph,0.1,17,0.0599442379182156,0.0
junyi,subgraph,0.1,42,0.0697026022304832,0.0
junyi,subgraph,0.1,1234,0.0803903345724907,0.0
junyi,subgraph,0.2,17,0.174721189591078,0.0
junyi,subgraph,0.2,42,0.1561338289962825,0.0
junyi,subgraph,0.2,1234,0.1826208178438661,0.0
junyi,subgraph,0.3,17,0.2727695167286245,0.0
junyi,subgraph,0.3,42,0.2495353159851301,0.0
junyi,subgraph,0.3,1234,0.2839219330855018,0.0
junyi,attr_mask,0.05,17,0.0,1.0
junyi,attr_mask,0.05,42,0.0,1.0
junyi,attr_mask,0.05,1234,0.0,1.0
junyi,attr_mask,0.1,17,0.0,1.0
junyi,attr_mask,0.1,42,0.0,1.0
junyi,attr_mask,0.1,1234,0.0,1.0
junyi,attr_mask,0.2,17,0.0,1.0
junyi,attr_mask,0.2,42,0.0,1.0
junyi,attr_mask,0.2,1234,0.0,1.0
junyi,attr_mask,0.3,17,0.0,1.0
junyi,attr_mask,0.3,42,0.0,1.0
junyi,attr_mask,0.3,1234,0.0,1.0
junyi,edge_drop,0.05,17,0.0502347417840375,1.0
junyi,edge_drop,0.05,42,0.0488262910798122,1.0
junyi,edge_drop,0.05,1234,0.052112676056338,1.0
junyi,edge_drop,0.1,17,0.0924882629107981,1.0
junyi,edge_drop,0.1,42,0.0948356807511737,1.0
junyi,edge_drop,0.1,1234,0.0957746478873239,1.0
junyi,edge_drop,0.2,17,0.2,1.0
junyi,edge_drop,0.2,42,0.2065727699530516,1.0
junyi,edge_drop,0.2,1234,0.1938967136150234,1.0
junyi,edge_drop,0.3,17,0.3089201877934272,1.0
junyi,edge_drop,0.3,42,0.3037558685446009,1.0
junyi,edge_drop,0.3,1234,0.292018779342723,1.0
junyi,node_drop,0.05,17,0.115962441314554,1.0
junyi,node_drop,0.05,42,0.0774647887323943,1.0
junyi,node_drop,0.05,1234,0.1140845070422535,1.0
junyi,node_drop,0.1,17,0.1835680751173709,1.0
junyi,node_drop,0.1,42,0.1812206572769953,1.0
junyi,node_drop,0.1,1234,0.2333333333333333,1.0
junyi,node_drop,0.2,17,0.3704225352112676,1.0
junyi,node_drop,0.2,42,0.3873239436619718,1.0
junyi,node_drop,0.2,1234,0.3896713615023474,1.0
junyi,node_drop,0.3,17,0.5262910798122066,1.0
junyi,node_drop,0.3,42,0.5084507042253521,1.0
junyi,node_drop,0.3,1234,0.531924882629108,1.0
junyi,subgraph,0.05,17,0.0126760563380281,1.0
junyi,subgraph,0.05,42,0.0126760563380281,1.0
junyi,subgraph,0.05,1234,0.0126760563380281,1.0
junyi,subgraph,0.1,17,0.0586854460093896,1.0
junyi,subgraph,0.1,42,0.0718309859154929,1.0
junyi,subgraph,0.1,1234,0.0525821596244131,1.0
junyi,subgraph,0.2,17,0.1568075117370892,1.0
junyi,subgraph,0.2,42,0.152112676056338,1.0
junyi,subgraph,0.2,1234,0.172300469483568,1.0
junyi,subgraph,0.3,17,0.2450704225352112,1.0
junyi,subgraph,0.3,42,0.2596244131455399,1.0
junyi,subgraph,0.3,1234,0.2971830985915493,1.0
junyi,attr_mask,0.05,17,0.0,2.0
junyi,attr_mask,0.05,42,0.0,2.0
junyi,attr_mask,0.05,1234,0.0,2.0
junyi,attr_mask,0.1,17,0.0,2.0
junyi,attr_mask,0.1,42,0.0,2.0
junyi,attr_mask,0.1,1234,0.0,2.0
junyi,attr_mask,0.2,17,0.0,2.0
junyi,attr_mask,0.2,42,0.0,2.0
junyi,attr_mask,0.2,1234,0.0,2.0
junyi,attr_mask,0.3,17,0.0,2.0
junyi,attr_mask,0.3,42,0.0,2.0
junyi,attr_mask,0.3,1234,0.0,2.0
junyi,edge_drop,0.05,17,0.0500927643784786,2.0
junyi,edge_drop,0.05,42,0.0487012987012987,2.0
junyi,edge_drop,0.05,1234,0.0519480519480519,2.0
junyi,edge_drop,0.1,17,0.0918367346938775,2.0
junyi,edge_drop,0.1,42,0.0950834879406308,2.0
junyi,edge_drop,0.1,1234,0.0955473098330241,2.0
junyi,edge_drop,0.2,17,0.2003710575139146,2.0
junyi,edge_drop,0.2,42,0.2054730983302412,2.0
junyi,edge_drop,0.2,1234,0.1934137291280148,2.0
junyi,edge_drop,0.3,17,0.3079777365491651,2.0
junyi,edge_drop,0.3,42,0.3019480519480519,2.0
junyi,edge_drop,0.3,1234,0.2903525046382189,2.0
junyi,node_drop,0.05,17,0.1173469387755102,2.0
junyi,node_drop,0.05,42,0.0830241187384044,2.0
junyi,node_drop,0.05,1234,0.1252319109461966,2.0
junyi,node_drop,0.1,17,0.1767161410018553,2.0
junyi,node_drop,0.1,42,0.174860853432282,2.0
junyi,node_drop,0.1,1234,0.2337662337662337,2.0
junyi,node_drop,0.2,17,0.3650278293135436,2.0
junyi,node_drop,0.2,42,0.3979591836734694,2.0
junyi,node_drop,0.2,1234,0.3910018552875696,2.0
junyi,node_drop,0.3,17,0.5088126159554731,2.0
junyi,node_drop,0.3,42,0.5282931354359925,2.0
junyi,node_drop,0.3,1234,0.5255102040816326,2.0
junyi,subgraph,0.05,17,0.0129870129870129,2.0
junyi,subgraph,0.05,42,0.0134508348794063,2.0
junyi,subgraph,0.05,1234,0.0134508348794063,2.0
junyi,subgraph,0.1,17,0.0556586270871985,2.0
junyi,subgraph,0.1,42,0.0589053803339517,2.0
junyi,subgraph,0.1,1234,0.0556586270871985,2.0
junyi,subgraph,0.2,17,0.1307977736549165,2.0
