dataset,model,auc_train_only,auc_full_log,delta_auc,acc_train_only,acc_full_log,delta_acc
synthetic_c2,dgekt,0.6349183892413469,0.6349152609722405,-3.128269106422721e-06,0.6868111111111111,0.6868111111111111,0.0
synthetic_c2,dygkt,0.631503780735548,0.6314719238453247,-3.185689022329926e-05,0.6868111111111111,0.6868111111111111,0.0
synthetic_c2,gikt,0.6352707364496492,0.635265745921369,-4.990528280179873e-06,0.6868111111111111,0.6868111111111111,0.0
synthetic_c2,gkt,0.554484841934106,0.554484841934106,0.0,0.6868111111111111,0.6868111111111111,0.0
synthetic_c2,skt,0.6327665020369889,0.6328073272135425,4.082517655364567e-05,0.6868111111111111,0.6868111111111111,0.0
synthetic_c5,dgekt,0.6325873053518779,0.6325085743169359,-7.87310349420478e-05,0.61065,0.61065,0.0
synthetic_c5,dygkt,0.6215389211460999,0.6212244351186769,-0.0003144860274229,0.61065,0.61065,0.0
synthetic_c5,gikt,0.6326658893294761,0.6326887602694717,2.287093999571906e-05,0.61065,0.61065,0.0
synthetic_c5,gkt,0.5240881314015584,0.5240881314015584,0.0,0.61065,0.61065,0.0
synthetic_c5,skt,0.628652490869866,0.6282505155292482,-0.0004019753406178,0.61065,0.61065,0.0
junyi,dgekt,0.7107866412049054,0.7107432406638869,-4.340054101859003e-05,0.8290681508842619,0.8290643147167467,-3.836167515203215e-06
junyi,dygkt,0.7067186343503856,0.7067578121798009,3.917782941524154e-05,0.8281956164916656,0.8281956164916656,0.0
junyi,gikt,0.7129757536943603,0.7130411215328252,6.536783846489147e-05,0.8290953411509485,0.8291028856137284,7.544462779914459e-06
junyi,gkt,0.7042084396591871,0.704357981694356,0.0001495420351689,0.8283383312727057,0.8283656890738644,2.7357801158589545e-05
junyi,skt,0.704478966375189,0.7049648688471164,0.0004859024719275,0.8285494378389927,0.8286225348726384,7.309703364558977e-05
assist2012,dgekt,0.6889567427016559,0.688865666097763,-9.10766038929219e-05,0.6990811633431141,0.6991563671581721,7.520381505802624e-05
assist2012,dygkt,0.6387787921239487,0.6386103865334661,-0.0001684055904826,0.6955702933385209,0.6955702933385209,0.0
assist2012,gikt,0.692717965840107,0.6926402020540928,-7.776378601424365e-05,0.6999469321761359,0.7000148533432569,6.792116712091752e-05
assist2012,gkt,0.6040771191824504,0.603926287346754,-0.0001508318356963,0.6962184474705196,0.6962184474705196,0.0
assist2012,skt,0.6522462568211185,0.6519890893303665,-0.0002571674907519,0.6963912270480267,0.6964427515389934,5.152449096668121e-05
xes3g5m,dgekt,0.7044612004763308,0.7048655542055133,0.0004043537291826456,0.7947322467940108,0.7947346736322064,2.42683819558683e-06
xes3g5m,dygkt,0.6457560531090605,0.6460912215889892,0.0003351684799287232,0.7942044804086738,0.7942074274110986,2.947002425017035e-06
xes3g5m,gikt,0.709913769833054,0.7102287006634596,0.0003149308304056797,0.7947355384955069,0.7947355384955069,0.0
xes3g5m,gkt,0.6078669567370998,0.6077642596331042,-0.00010269710399553784,0.7943888390636381,0.7943895324824005,6.934187625207144e-07
xes3g5m,skt,0.6598134095227765,0.6603369682991614,0.0005235587763849914,0.794390921899721,0.7943910952453064,1.7334558540434605e-07
