dataset,fold,augmentation,p,seed,ddr
junyi,0,node_drop,0.05,42,0.08643122676579926
junyi,0,node_drop,0.05,17,0.12453531598513011
junyi,0,node_drop,0.05,1234,0.11663568773234201
junyi,0,node_drop,0.1,42,0.17007434944237917
junyi,0,node_drop,0.1,17,0.1854089219330855
junyi,0,node_drop,0.1,1234,0.22444237918215612
junyi,0,node_drop,0.2,42,0.3996282527881041
junyi,0,node_drop,0.2,17,0.391728624535316
junyi,0,node_drop,0.2,1234,0.36570631970260226
junyi,0,node_drop,0.3,42,0.5274163568773235
junyi,0,node_drop,0.3,17,0.5116171003717472
junyi,0,node_drop,0.3,1234,0.5362453531598513
junyi,0,edge_drop,0.05,42,0.04879182156133829
junyi,0,edge_drop,0.05,17,0.05018587360594796
junyi,0,edge_drop,0.05,1234,0.05204460966542751
junyi,0,edge_drop,0.1,42,0.09526022304832714
junyi,0,edge_drop,0.1,17,0.09200743494423792
junyi,0,edge_drop,0.1,1234,0.09572490706319703
junyi,0,edge_drop,0.2,42,0.2058550185873606
junyi,0,edge_drop,0.2,17,0.20074349442379183
junyi,0,edge_drop,0.2,1234,0.1937732342007435
junyi,0,edge_drop,0.3,42,0.3025092936802974
junyi,0,edge_drop,0.3,17,0.30855018587360594
junyi,0,edge_drop,0.3,1234,0.2908921933085502
junyi,0,attr_mask,0.05,42,0.0
junyi,0,attr_mask,0.05,17,0.0
junyi,0,attr_mask,0.05,1234,0.0
junyi,0,attr_mask,0.1,42,0.0
junyi,0,attr_mask,0.1,17,0.0
junyi,0,attr_mask,0.1,1234,0.0
junyi,0,attr_mask,0.2,42,0.0
junyi,0,attr_mask,0.2,17,0.0
junyi,0,attr_mask,0.2,1234,0.0
junyi,0,attr_mask,0.3,42,0.0
junyi,0,attr_mask,0.3,17,0.0
junyi,0,attr_mask,0.3,1234,0.0
junyi,0,subgraph,0.05,42,0.013011152416356878
junyi,0,subgraph,0.05,17,0.013011152416356878
junyi,0,subgraph,0.05,1234,0.013011152416356878
junyi,0,subgraph,0.1,42,0.06970260223048327
junyi,0,subgraph,0.1,17,0.05994423791821561
junyi,0,subgraph,0.1,1234,0.0803903345724907
junyi,0,subgraph,0.2,42,0.15613382899628253
junyi,0,subgraph,0.2,17,0.17472118959107807
junyi,0,subgraph,0.2,1234,0.18262081784386616
junyi,0,subgraph,0.3,42,0.24953531598513012
junyi,0,subgraph,0.3,17,0.27276951672862454
junyi,0,subgraph,0.3,1234,0.28392193308550184
junyi,1,node_drop,0.05,42,0.07746478873239436
junyi,1,node_drop,0.05,17,0.115962441314554
junyi,1,node_drop,0.05,1234,0.11408450704225352
junyi,1,node_drop,0.1,42,0.1812206572769953
junyi,1,node_drop,0.1,17,0.1835680751173709
junyi,1,node_drop,0.1,1234,0.23333333333333334
junyi,1,node_drop,0.2,42,0.3873239436619718
