dataset,fold,ecr_flag,ecr_overlap,eoc,tbvr
assist2012,0,0.0,1.0,1.4249385304867908,0.2530477565534123
assist2012,1,0.0,1.0,1.4234650931422734,0.2511658102467316
assist2012,2,0.0,1.0,1.4226894406201,0.2496398022389789
junyi,0,0.0,0.99953531598513,1.4495240646562455,0.1766323584488346
junyi,1,0.0,0.9995305164319248,1.449577538728316,0.1752980279225565
junyi,2,0.0,0.9995361781076066,1.4490436892620773,0.1764166185742011
synthetic_c2,0,0.0,1.0,0.0,0.7333333333333333
synthetic_c2,1,0.0,1.0,0.0,0.7333333333333333
synthetic_c2,2,0.0,1.0,0.0,0.7333333333333333
synthetic_c5,0,0.0,1.0,0.0,0.1333333333333333
synthetic_c5,1,0.0,1.0,0.0,0.1333333333333333
synthetic_c5,2,0.0,1.0,0.0,0.1333333333333333
xes3g5m,0,0.0,0.9894459102902374,1.41838856562749,0.754290098385665
xes3g5m,1,0.0,0.988134475939354,1.4193572017585008,0.7570566431007912
xes3g5m,2,0.0,0.9868938401048493,1.4213204150330627,0.7569998049864377
