dataset,fold,augmentation,p,seed,ddr
synthetic_c2,0,node_drop,0.05,42,0.0
synthetic_c2,0,node_drop,0.05,17,0.0
synthetic_c2,0,node_drop,0.05,1234,0.0
synthetic_c2,0,node_drop,0.1,42,0.0
synthetic_c2,0,node_drop,0.1,17,0.0
synthetic_c2,0,node_drop,0.1,1234,0.0
synthetic_c2,0,node_drop,0.2,42,0.0
synthetic_c2,0,node_drop,0.2,17,1.0
synthetic_c2,0,node_drop,0.2,1234,0.0
synthetic_c2,0,node_drop,0.3,42,0.0
synthetic_c2,0,node_drop,0.3,17,1.0
synthetic_c2,0,node_drop,0.3,1234,0.0
synthetic_c2,0,edge_drop,0.05,42,0.0
synthetic_c2,0,edge_drop,0.05,17,0.0
synthetic_c2,0,edge_drop,0.05,1234,0.0
synthetic_c2,0,edge_drop,0.1,42,0.0
synthetic_c2,0,edge_drop,0.1,17,0.0
synthetic_c2,0,edge_drop,0.1,1234,0.0
synthetic_c2,0,edge_drop,0.2,42,0.0
synthetic_c2,0,edge_drop,0.2,17,0.5
synthetic_c2,0,edge_drop,0.2,1234,0.0
synthetic_c2,0,edge_drop,0.3,42,0.0
synthetic_c2,0,edge_drop,0.3,17,0.5
synthetic_c2,0,edge_drop,0.3,1234,0.0
synthetic_c2,0,attr_mask,0.05,42,0.0
synthetic_c2,0,attr_mask,0.05,17,0.0
synthetic_c2,0,attr_mask,0.05,1234,0.0
synthetic_c2,0,attr_mask,0.1,42,0.0
synthetic_c2,0,attr_mask,0.1,17,0.0
synthetic_c2,0,attr_mask,0.1,1234,0.0
synthetic_c2,0,attr_mask,0.2,42,0.0
synthetic_c2,0,attr_mask,0.2,17,0.0
synthetic_c2,0,attr_mask,0.2,1234,0.0
synthetic_c2,0,attr_mask,0.3,42,0.0
synthetic_c2,0,attr_mask,0.3,17,0.0
synthetic_c2,0,attr_mask,0.3,1234,0.0
synthetic_c2,0,subgraph,0.05,42,0.0
synthetic_c2,0,subgraph,0.05,17,0.0
synthetic_c2,0,subgraph,0.05,1234,0.0
synthetic_c2,0,subgraph,0.1,42,0.0
synthetic_c2,0,subgraph,0.1,17,0.0
synthetic_c2,0,subgraph,0.1,1234,0.0
synthetic_c2,0,subgraph,0.2,42,0.0
synthetic_c2,0,subgraph,0.2,17,0.0
synthetic_c2,0,subgraph,0.2,1234,0.0
synthetic_c2,0,subgraph,0.3,42,0.0
synthetic_c2,0,subgraph,0.3,17,0.0
synthetic_c2,0,subgraph,0.3,1234,0.0
synthetic_c2,1,node_drop,0.05,42,0.0
synthetic_c2,1,node_drop,0.05,17,0.0
synthetic_c2,1,node_drop,0.05,1234,0.0
synthetic_c2,1,node_drop,0.1,42,0.0
synthetic_c2,1,node_drop,0.1,17,0.0
synthetic_c2,1,node_drop,0.1,1234,0.0
synthetic_c2,1,node_drop,0.2,42,0.0
synthetic_c2,1,node_drop,0.2,17,1.0
synthetic_c2,1,node_drop,0.2,1234,0.0
synthetic_c2,1,node_drop,0.3,42,0.0
synthetic_c2,1,node_drop,0.3,17,1.0
synthetic_c2,1,node_drop,0.3,1234,0.0
synthetic_c2,1,edge_drop,0.05,42,0.0
synthetic_c2,1,edge_drop,0.05,17,0.0
synthetic_c2,1,edge_drop,0.05,1234,0.0
synthetic_c2,1,edge_drop,0.1,42,0.0
synthetic_c2,1,edge_drop,0.1,17,0.0
synthetic_c2,1,edge_drop,0.1,1234,0.0
synthetic_c2,1,edge_drop,0.2,42,0.0
synthetic_c2,1,edge_drop,0.2,17,0.5
synthetic_c2,1,edge_drop,0.2,1234,0.0
synthetic_c2,1,edge_drop,0.3,42,0.0
synthetic_c2,1,edge_drop,0.3,17,0.5
synthetic_c2,1,edge_drop,0.3,1234,0.0
synthetic_c2,1,attr_mask,0.05,42,0.0
synthetic_c2,1,attr_mask,0.05,17,0.0
synthetic_c2,1,attr_mask,0.05,1234,0.0
synthetic_c2,1,attr_mask,0.1,42,0.0
synthetic_c2,1,attr_mask,0.1,17,0.0
synthetic_c2,1,attr_mask,0.1,1234,0.0
synthetic_c2,1,attr_mask,0.2,42,0.0
synthetic_c2,1,attr_mask,0.2,17,0.0
synthetic_c2,1,attr_mask,0.2,1234,0.0
synthetic_c2,1,attr_mask,0.3,42,0.0
synthetic_c2,1,attr_mask,0.3,17,0.0
synthetic_c2,1,attr_mask,0.3,1234,0.0
synthetic_c2,1,subgraph,0.05,42,0.0
synthetic_c2,1,subgraph,0.05,17,0.0
synthetic_c2,1,subgraph,0.05,1234,0.0
synthetic_c2,1,subgraph,0.1,42,0.0
synthetic_c2,1,subgraph,0.1,17,0.0
synthetic_c2,1,subgraph,0.1,1234,0.0
synthetic_c2,1,subgraph,0.2,42,0.0
synthetic_c2,1,subgraph,0.2,17,0.0
synthetic_c2,1,subgraph,0.2,1234,0.0
synthetic_c2,1,subgraph,0.3,42,0.0
synthetic_c2,1,subgraph,0.3,17,0.0
synthetic_c2,1,subgraph,0.3,1234,0.0
synthetic_c2,2,node_drop,0.05,42,0.0
synthetic_c2,2,node_drop,0.05,17,0.0
synthetic_c2,2,node_drop,0.05,1234,0.0
synthetic_c2,2,node_drop,0.1,42,0.0
synthetic_c2,2,node_drop,0.1,17,0.0
synthetic_c2,2,node_drop,0.1,1234,0.0
synthetic_c2,2,node_drop,0.2,42,0.0
synthetic_c2,2,node_drop,0.2,17,1.0
synthetic_c2,2,node_drop,0.2,1234,0.0
synthetic_c2,2,node_drop,0.3,42,0.0
synthetic_c2,2,node_drop,0.3,17,1.0
synthetic_c2,2,node_drop,0.3,1234,0.0
synthetic_c2,2,edge_drop,0.05,42,0.0
synthetic_c2,2,edge_drop,0.05,17,0.0
synthetic_c2,2,edge_drop,0.05,1234,0.0
synthetic_c2,2,edge_drop,0.1,42,0.0
synthetic_c2,2,edge_drop,0.1,17,0.0
synthetic_c2,2,edge_drop,0.1,1234,0.0
synthetic_c2,2,edge_drop,0.2,42,0.0
synthetic_c2,2,edge_drop,0.2,17,0.5
synthetic_c2,2,edge_drop,0.2,1234,0.0
synthetic_c2,2,edge_drop,0.3,42,0.0
synthetic_c2,2,edge_drop,0.3,17,0.5
synthetic_c2,2,edge_drop,0.3,1234,0.0
synthetic_c2,2,attr_mask,0.05,42,0.0
synthetic_c2,2,attr_mask,0.05,17,0.0
synthetic_c2,2,attr_mask,0.05,1234,0.0
synthetic_c2,2,attr_mask,0.1,42,0.0
synthetic_c2,2,attr_mask,0.1,17,0.0
synthetic_c2,2,attr_mask,0.1,1234,0.0
synthetic_c2,2,attr_mask,0.2,42,0.0
synthetic_c2,2,attr_mask,0.2,17,0.0
synthetic_c2,2,attr_mask,0.2,1234,0.0
synthetic_c2,2,attr_mask,0.3,42,0.0
synthetic_c2,2,attr_mask,0.3,17,0.0
synthetic_c2,2,attr_mask,0.3,1234,0.0
synthetic_c2,2,subgraph,0.05,42,0.0
synthetic_c2,2,subgraph,0.05,17,0.0
synthetic_c2,2,subgraph,0.05,1234,0.0
synthetic_c2,2,subgraph,0.1,42,0.0
synthetic_c2,2,subgraph,0.1,17,0.0
synthetic_c2,2,subgraph,0.1,1234,0.0
synthetic_c2,2,subgraph,0.2,42,0.0
synthetic_c2,2,subgraph,0.2,17,0.0
synthetic_c2,2,subgraph,0.2,1234,0.0
synthetic_c2,2,subgraph,0.3,42,0.0
synthetic_c2,2,subgraph,0.3,17,0.0
synthetic_c2,2,subgraph,0.3,1234,0.0
