dataset,fold,augmentation,p,seed,ddr
xes3g5m,0,node_drop,0.05,42,0.08347676419965576
xes3g5m,0,node_drop,0.05,17,0.12822719449225473
xes3g5m,0,node_drop,0.05,1234,0.12736660929432014
xes3g5m,0,node_drop,0.1,42,0.16523235800344235
xes3g5m,0,node_drop,0.1,17,0.18416523235800344
xes3g5m,0,node_drop,0.1,1234,0.23580034423407917
xes3g5m,0,node_drop,0.2,42,0.4208261617900172
xes3g5m,0,node_drop,0.2,17,0.3588640275387263
xes3g5m,0,node_drop,0.2,1234,0.3743545611015491
xes3g5m,0,node_drop,0.3,42,0.5473321858864028
xes3g5m,0,node_drop,0.3,17,0.5034423407917383
xes3g5m,0,node_drop,0.3,1234,0.5421686746987951
xes3g5m,0,edge_drop,0.05,42,0.050774526678141134
xes3g5m,0,edge_drop,0.05,17,0.043029259896729774
xes3g5m,0,edge_drop,0.05,1234,0.05335628227194492
xes3g5m,0,edge_drop,0.1,42,0.09380378657487091
xes3g5m,0,edge_drop,0.1,17,0.09036144578313253
xes3g5m,0,edge_drop,0.1,1234,0.10068846815834767
xes3g5m,0,edge_drop,0.2,42,0.21428571428571427
xes3g5m,0,edge_drop,0.2,17,0.193631669535284
xes3g5m,0,edge_drop,0.2,1234,0.20395869191049915
xes3g5m,0,edge_drop,0.3,42,0.30120481927710846
xes3g5m,0,edge_drop,0.3,17,0.29690189328743544
xes3g5m,0,edge_drop,0.3,1234,0.29862306368330466
xes3g5m,0,attr_mask,0.05,42,0.0
xes3g5m,0,attr_mask,0.05,17,0.0
xes3g5m,0,attr_mask,0.05,1234,0.0
xes3g5m,0,attr_mask,0.1,42,0.0
xes3g5m,0,attr_mask,0.1,17,0.0
xes3g5m,0,attr_mask,0.1,1234,0.0
xes3g5m,0,attr_mask,0.2,42,0.0
xes3g5m,0,attr_mask,0.2,17,0.0
xes3g5m,0,attr_mask,0.2,1234,0.0
xes3g5m,0,attr_mask,0.3,42,0.0
xes3g5m,0,attr_mask,0.3,17,0.0
xes3g5m,0,attr_mask,0.3,1234,0.0
xes3g5m,0,subgraph,0.05,42,0.024096385542168676
xes3g5m,0,subgraph,0.05,17,0.021514629948364887
xes3g5m,0,subgraph,0.05,1234,0.02323580034423408
xes3g5m,0,subgraph,0.1,42,0.055077452667814115
xes3g5m,0,subgraph,0.1,17,0.055077452667814115
xes3g5m,0,subgraph,0.1,1234,0.058519793459552494
xes3g5m,0,subgraph,0.2,42,0.1514629948364888
xes3g5m,0,subgraph,0.2,17,0.14113597246127366
xes3g5m,0,subgraph,0.2,1234,0.1342512908777969
xes3g5m,0,subgraph,0.3,42,0.24440619621342513
xes3g5m,0,subgraph,0.3,17,0.23493975903614459
xes3g5m,0,subgraph,0.3,1234,0.22633390705679862
xes3g5m,1,node_drop,0.05,42,0.10717372515125324
xes3g5m,1,node_drop,0.05,17,0.09075194468452895
xes3g5m,1,node_drop,0.05,1234,0.10112359550561797
xes3g5m,1,node_drop,0.1,42,0.19101123595505617
xes3g5m,1,node_drop,0.1,17,0.17545375972342264
xes3g5m,1,node_drop,0.1,1234,0.2048401037165082
xes3g5m,1,node_drop,0.2,42,0.4096802074330164
xes3g5m,1,node_drop,0.2,17,0.331028522039758
xes3g5m,1,node_drop,0.2,1234,0.4044943820224719
xes3g5m,1,node_drop,0.3,42,0.554019014693172
xes3g5m,1,node_drop,0.3,17,0.4943820224719101
xes3g5m,1,node_drop,0.3,1234,0.5635263612791702
xes3g5m,1,edge_drop,0.05,42,0.049265341400172864
xes3g5m,1,edge_drop,0.05,17,0.04235090751944685
xes3g5m,1,edge_drop,0.05,1234,0.05358686257562662
xes3g5m,1,edge_drop,0.1,42,0.09248055315471046
xes3g5m,1,edge_drop,0.1,17,0.08902333621434745
xes3g5m,1,edge_drop,0.1,1234,0.10112359550561797
xes3g5m,1,edge_drop,0.2,42,0.21348314606741572
xes3g5m,1,edge_drop,0.2,17,0.19273984442523767
xes3g5m,1,edge_drop,0.2,1234,0.2048401037165082
xes3g5m,1,edge_drop,0.3,42,0.30077787381158166
xes3g5m,1,edge_drop,0.3,17,0.29559204840103714
xes3g5m,1,edge_drop,0.3,1234,0.2990492653414002
xes3g5m,1,attr_mask,0.05,42,0.0
xes3g5m,1,attr_mask,0.05,17,0.0
xes3g5m,1,attr_mask,0.05,1234,0.0
xes3g5m,1,attr_mask,0.1,42,0.0
xes3g5m,1,attr_mask,0.1,17,0.0
xes3g5m,1,attr_mask,0.1,1234,0.0
xes3g5m,1,attr_mask,0.2,42,0.0
xes3g5m,1,attr_mask,0.2,17,0.0
xes3g5m,1,attr_mask,0.2,1234,0.0
xes3g5m,1,attr_mask,0.3,42,0.0
xes3g5m,1,attr_mask,0.3,17,0.0
xes3g5m,1,attr_mask,0.3,1234,0.0
xes3g5m,1,subgraph,0.05,42,0.019878997407087293
xes3g5m,1,subgraph,0.05,17,0.021607605877268798
xes3g5m,1,subgraph,0.05,1234,0.01901469317199654
xes3g5m,1,subgraph,0.1,42,0.05445116681071737
xes3g5m,1,subgraph,0.1,17,0.06309420916162489
xes3g5m,1,subgraph,0.1,1234,0.05099394987035436
xes3g5m,1,subgraph,0.2,42,0.13569576490924806
xes3g5m,1,subgraph,0.2,17,0.1616248919619706
xes3g5m,1,subgraph,0.2,1234,0.12878133102852204
xes3g5m,1,subgraph,0.3,42,0.24027657735522903
xes3g5m,1,subgraph,0.3,17,0.25929127052722556
xes3g5m,1,subgraph,0.3,1234,0.23509075194468454
xes3g5m,2,node_drop,0.05,42,0.0839041095890411
xes3g5m,2,node_drop,0.05,17,0.13356164383561644
xes3g5m,2,node_drop,0.05,1234,0.136986301369863
xes3g5m,2,node_drop,0.1,42,0.175513698630137
xes3g5m,2,node_drop,0.1,17,0.1875
xes3g5m,2,node_drop,0.1,1234,0.24315068493150685
xes3g5m,2,node_drop,0.2,42,0.4417808219178082
xes3g5m,2,node_drop,0.2,17,0.3587328767123288
xes3g5m,2,node_drop,0.2,1234,0.3767123287671233
xes3g5m,2,node_drop,0.3,42,0.5625
xes3g5m,2,node_drop,0.3,17,0.5042808219178082
xes3g5m,2,node_drop,0.3,1234,0.5428082191780822
xes3g5m,2,edge_drop,0.05,42,0.05051369863013699
xes3g5m,2,edge_drop,0.05,17,0.04366438356164384
xes3g5m,2,edge_drop,0.05,1234,0.05393835616438356
xes3g5m,2,edge_drop,0.1,42,0.09332191780821918
xes3g5m,2,edge_drop,0.1,17,0.09075342465753425
xes3g5m,2,edge_drop,0.1,1234,0.10102739726027397
xes3g5m,2,edge_drop,0.2,42,0.2148972602739726
xes3g5m,2,edge_drop,0.2,17,0.1934931506849315
xes3g5m,2,edge_drop,0.2,1234,0.20376712328767124
xes3g5m,2,edge_drop,0.3,42,0.3013698630136986
xes3g5m,2,edge_drop,0.3,17,0.2962328767123288
xes3g5m,2,edge_drop,0.3,1234,0.2979452054794521
xes3g5m,2,attr_mask,0.05,42,0.0
xes3g5m,2,attr_mask,0.05,17,0.0
xes3g5m,2,attr_mask,0.05,1234,0.0
xes3g5m,2,attr_mask,0.1,42,0.0
xes3g5m,2,attr_mask,0.1,17,0.0
xes3g5m,2,attr_mask,0.1,1234,0.0
xes3g5m,2,attr_mask,0.2,42,0.0
xes3g5m,2,attr_mask,0.2,17,0.0
xes3g5m,2,attr_mask,0.2,1234,0.0
xes3g5m,2,attr_mask,0.3,42,0.0
xes3g5m,2,attr_mask,0.3,17,0.0
xes3g5m,2,attr_mask,0.3,1234,0.0
xes3g5m,2,subgraph,0.05,42,0.023116438356164382
xes3g5m,2,subgraph,0.05,17,0.02226027397260274
xes3g5m,2,subgraph,0.05,1234,0.023972602739726026
xes3g5m,2,subgraph,0.1,42,0.059931506849315065
xes3g5m,2,subgraph,0.1,17,0.06592465753424658
xes3g5m,2,subgraph,0.1,1234,0.05565068493150685
xes3g5m,2,subgraph,0.2,42,0.15753424657534246
xes3g5m,2,subgraph,0.2,17,0.1523972602739726
xes3g5m,2,subgraph,0.2,1234,0.14383561643835616
xes3g5m,2,subgraph,0.3,42,0.2345890410958904
xes3g5m,2,subgraph,0.3,17,0.24914383561643835
xes3g5m,2,subgraph,0.3,1234,0.23972602739726026
